WID	WORD	LABEL	FACTOR	VALUE
1	【亜】	1-亜	KNOW	0.660467239839025
2	【亜】	1-亜	ONYOMIWRITE	-0.201111884224953
3	【亜】	1-亜	ONYOMIREAD	-0.0650357419826778
4	【亜】	1-亜	KUNYOMIWRITE	-0.852584891999015
5	【亜】	1-亜	KUNYOMIREAD	-0.810630036866201
6	【哀】	2-哀	KNOW	0.773393312907425
7	【哀】	2-哀	ONYOMIWRITE	-0.556309042084559
8	【哀】	2-哀	ONYOMIREAD	-0.0877219357707008
9	【哀】	2-哀	KUNYOMIWRITE	-0.400154391597389
10	【哀】	2-哀	KUNYOMIREAD	-0.378264674115659
11	【挨】	3-挨	KNOW	0.36401664951084
12	【挨】	3-挨	ONYOMIWRITE	-0.83064006260597
13	【挨】	3-挨	ONYOMIREAD	-0.518815197163655
14	【挨】	3-挨	KUNYOMIWRITE	-1.08962360192746
15	【挨】	3-挨	KUNYOMIREAD	-0.789519725403477
16	【愛】	4-愛	KNOW	0.895118270646473
17	【愛】	4-愛	ONYOMIWRITE	-0.0308168318738232
18	【愛】	4-愛	ONYOMIREAD	0.228483920725204
19	【愛】	4-愛	KUNYOMIWRITE	0.152322577876719
20	【愛】	4-愛	KUNYOMIREAD	0.390746208306878
21	【曖】	5-曖	KNOW	-0.0677496520878519
22	【曖】	5-曖	ONYOMIWRITE	-1.2055203434226
23	【曖】	5-曖	ONYOMIREAD	-0.873279780371994
24	【曖】	5-曖	KUNYOMIWRITE	-1.4420271753967
25	【曖】	5-曖	KUNYOMIREAD	-1.18502875642113
26	【悪】	6-悪	KNOW	0.972218532630199
27	【悪】	6-悪	ONYOMIWRITE	0.150401626176906
28	【悪】	6-悪	ONYOMIREAD	0.346579945210692
29	【悪】	6-悪	KUNYOMIWRITE	0.327513373817034
30	【悪】	6-悪	KUNYOMIREAD	0.575631849912909
31	【握】	7-握	KNOW	0.756536967116499
32	【握】	7-握	ONYOMIWRITE	-0.396761609856555
33	【握】	7-握	ONYOMIREAD	-0.124970568856102
34	【握】	7-握	KUNYOMIWRITE	-0.301441256728656
35	【握】	7-握	KUNYOMIREAD	0.0520077495659391
36	【圧】	8-圧	KNOW	0.970871405147725
37	【圧】	8-圧	ONYOMIWRITE	0.0882721520935683
38	【圧】	8-圧	ONYOMIREAD	0.108299326584793
39	【圧】	8-圧	KUNYOMIWRITE	-0.540244071135373
40	【圧】	8-圧	KUNYOMIREAD	-0.457651723060809
41	【扱】	9-扱	KNOW	0.755621256307916
42	【扱】	9-扱	ONYOMIWRITE	-0.575731500757393
43	【扱】	9-扱	ONYOMIREAD	-0.263988358704941
44	【扱】	9-扱	KUNYOMIWRITE	-0.125214354586944
45	【扱】	9-扱	KUNYOMIREAD	0.128251608333599
46	【宛】	10-宛	KNOW	0.580243825250006
47	【宛】	10-宛	ONYOMIWRITE	-0.728490054928971
48	【宛】	10-宛	ONYOMIREAD	-0.35948341301189
49	【宛】	10-宛	KUNYOMIWRITE	-0.225669804116049
50	【宛】	10-宛	KUNYOMIREAD	-0.00609111778341947
51	【嵐】	11-嵐	KNOW	0.990283776097834
52	【嵐】	11-嵐	ONYOMIWRITE	-0.674933943680275
53	【嵐】	11-嵐	ONYOMIREAD	-0.340660568575272
54	【嵐】	11-嵐	KUNYOMIWRITE	0.0305153181643399
55	【嵐】	11-嵐	KUNYOMIREAD	0.265874908448344
56	【安】	12-安	KNOW	0.989780017747282
57	【安】	12-安	ONYOMIWRITE	0.539881134477671
58	【安】	12-安	ONYOMIREAD	0.640562958872677
59	【安】	12-安	KUNYOMIWRITE	0.682912573796324
60	【安】	12-安	KUNYOMIREAD	0.792260457803089
61	【案】	13-案	KNOW	1.01235692774577
62	【案】	13-案	ONYOMIWRITE	0.368576211407897
63	【案】	13-案	ONYOMIREAD	0.639554490380285
64	【案】	13-案	KUNYOMIWRITE	-0.678245510637723
65	【案】	13-案	KUNYOMIREAD	-0.436874589949362
66	【暗】	14-暗	KNOW	1.10957228081788
67	【暗】	14-暗	ONYOMIWRITE	0.287674185325617
68	【暗】	14-暗	ONYOMIREAD	0.619834696982067
69	【暗】	14-暗	KUNYOMIWRITE	0.344163010880646
70	【暗】	14-暗	KUNYOMIREAD	0.736871929769463
71	【以】	15-以	KNOW	0.951645049091677
72	【以】	15-以	ONYOMIWRITE	-0.16076787193466
